Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
LMT,395.59,Call,335.00,09/18/20,21,55.50,60.45,65.40,55.30,1780,303,5.87,0.00%,08/28/20
FB,293.66,Put,250.00,09/25/20,28,2.08,2.37,2.66,2.67,1221,209,5.84,52.82%,08/28/20
WDAY,243.88,Call,260.00,09/18/20,21,4.75,5.23,5.70,4.93,656,113,5.81,46.17%,08/28/20
CRM,271.1,Call,277.50,09/04/20,7,4.70,5.1,5.50,5.20,655,113,5.8,52.57%,08/28/20
MGM,23.86,Put,22.50,09/04/20,7,0.31,0.32,0.33,0.33,795,137,5.8,65.87%,08/28/20
TSLA,2211.84,Call,2375.00,09/04/20,7,61.00,64,67.00,64.86,858,148,5.8,102.33%,08/28/20
MA,366.12,Put,330.00,11/20/20,84,8.75,9.15,9.55,8.98,1031,179,5.76,34.60%,08/28/20
LMT,395.59,Call,320.00,09/18/20,21,70.50,75.45,80.40,70.30,1700,295,5.76,0.00%,08/28/20
AAPL,499.23,Call,700.00,10/02/20,35,2.24,2.5,2.75,2.55,615,107,5.75,66.26%,08/28/20
CRM,271.1,Call,300.00,09/18/20,21,3.10,3.38,3.65,3.39,7391,1285,5.75,47.60%,08/28/20
SHOP,1042.06,Call,1150.00,09/04/20,7,4.50,4.65,4.80,4.50,2514,438,5.74,57.31%,08/28/20
JE,0.3895,Call,1.00,04/16/21,231,0.15,0.18,0.20,0.17,828,145,5.71,221.64%,08/28/20
MGM,23.86,Put,23.00,09/04/20,7,0.48,0.51,0.54,0.49,890,156,5.71,66.04%,08/28/20
BIGC,130.98,Call,150.00,10/16/20,49,22.40,23,23.60,22.50,2096,367,5.71,153.14%,08/28/20
MS,52.89,Put,49.50,09/04/20,7,0.10,0.11,0.12,0.11,821,144,5.7,36.19%,08/28/20
MCD,214.91,Call,185.00,09/18/20,21,29.30,30.67,32.05,31.25,5274,926,5.7,49.86%,08/28/20
OKTA,207.98,Call,215.00,09/04/20,7,3.20,3.4,3.60,3.40,569,100,5.69,53.73%,08/28/20
DKNG,36.32,Put,36.50,09/04/20,7,1.65,1.73,1.80,1.75,938,165,5.68,82.78%,08/28/20
AAPL,499.23,Call,730.00,09/04/20,7,0.12,0.13,0.14,0.14,624,110,5.67,106.42%,08/28/20
ROKU,172.85,Put,165.00,10/16/20,49,13.25,13.7,14.15,13.49,1151,203,5.67,70.24%,08/28/20
ROKU,172.85,Put,175.00,09/18/20,21,12.35,12.68,13.00,12.50,582,103,5.65,69.05%,08/28/20
PAA,7.22,Call,7.50,09/11/20,14,0.10,0.15,0.20,0.13,831,147,5.65,42.35%,08/28/20
DKNG,36.32,Put,37.50,09/04/20,7,2.25,2.35,2.45,2.30,1211,215,5.63,80.98%,08/28/20
WMT,140.3,Call,143.00,09/04/20,7,2.11,2.12,2.12,2.11,3658,650,5.63,41.78%,08/28/20
AAPL,499.23,Call,565.00,09/04/20,7,1.45,1.48,1.50,1.50,1423,253,5.62,61.65%,08/28/20
AAPL,499.23,Call,555.00,09/04/20,7,1.82,1.92,2.02,1.89,1252,223,5.61,58.21%,08/28/20
NCLH,17.69,Put,17.50,10/16/20,49,2.48,2.62,2.76,2.50,560,100,5.6,102.23%,08/28/20
MRNA,67.49,Put,65.00,04/16/21,231,17.75,18.93,20.10,18.90,795,142,5.6,100.18%,08/28/20
MU,45.69,Call,48.00,09/04/20,7,0.28,0.29,0.29,0.29,7213,1288,5.6,41.27%,08/28/20
CRM,271.1,Call,290.00,09/04/20,7,2.44,2.56,2.68,2.65,15533,2781,5.59,59.00%,08/28/20
FB,293.66,Call,307.50,09/04/20,7,2.77,2.86,2.95,2.89,913,164,5.57,47.85%,08/28/20
AMZN,3401.8,Call,4800.00,12/18/20,112,42.95,44.4,45.85,44.32,1165,209,5.57,46.27%,08/28/20
INTC,50.43,Call,54.50,09/18/20,21,0.26,0.31,0.35,0.30,1084,197,5.5,30.82%,08/28/20
QCOM,118.2,Put,115.00,09/04/20,7,1.11,1.31,1.50,1.19,1632,298,5.48,38.49%,08/28/20
ULTA,237.02,Call,250.00,09/04/20,7,2.35,2.38,2.40,2.40,2609,476,5.48,52.46%,08/28/20
NVDA,525.91,Call,550.00,09/04/20,7,6.05,6.13,6.20,6.20,12381,2264,5.47,51.42%,08/28/20
NCLH,17.69,Put,18.00,08/28/20,0,0.12,0.24,0.36,0.31,1096,201,5.45,0.00%,08/28/20
MCD,214.91,Call,190.00,09/18/20,21,22.50,24.13,25.75,24.98,36367,6724,5.41,11.25%,08/28/20
AMZN,3401.8,Put,3410.00,08/28/20,0,4.65,7.53,10.40,10.00,2086,386,5.4,0.00%,08/28/20
MU,45.69,Call,49.00,09/18/20,21,0.67,0.69,0.71,0.70,2578,477,5.4,42.08%,08/28/20
FTV,72.83,Call,70.00,09/18/20,21,3.80,4,4.20,4.05,1519,282,5.39,34.03%,08/28/20
PTON,75.96,Call,80.00,09/04/20,7,1.71,1.73,1.75,1.75,11931,2215,5.39,78.66%,08/28/20
H,59.16,Put,55.00,11/20/20,84,3.80,3.95,4.10,4.15,601,112,5.37,55.94%,08/28/20
CHWY,59.73,Call,70.00,09/11/20,14,1.14,1.17,1.20,1.10,746,139,5.37,88.56%,08/28/20
MCD,214.91,Call,140.00,09/18/20,21,73.15,75,76.85,76.70,2200,411,5.35,123.40%,08/28/20
MS,52.89,Call,54.00,10/02/20,35,1.42,1.53,1.63,1.56,1441,270,5.34,30.85%,08/28/20
MDT,107.86,Put,100.00,02/19/21,175,4.90,5.05,5.20,5.00,1633,307,5.32,30.21%,08/28/20
MSFT,228.91,Put,220.00,09/25/20,28,5.80,6.25,6.70,6.03,1675,315,5.32,40.16%,08/28/20
BIDU,129,Call,145.00,09/18/20,21,0.55,0.57,0.59,0.59,8781,1651,5.32,37.83%,08/28/20
INTC,50.43,Call,56.00,09/11/20,14,0.07,0.12,0.16,0.11,1130,213,5.31,35.60%,08/28/20
BABA,289,Call,287.50,08/28/20,0,1.41,1.8,2.19,1.46,16383,3086,5.31,0.00%,08/28/20
SQ,155.93,Call,185.00,09/04/20,7,0.15,0.16,0.17,0.15,551,104,5.3,63.62%,08/28/20
V,215.71,Put,212.50,09/04/20,7,1.57,1.63,1.69,1.54,614,116,5.29,24.40%,08/28/20
V,215.71,Call,250.00,03/19/21,203,5.75,5.93,6.10,5.92,2285,433,5.28,25.46%,08/28/20
TSLA,2211.84,Put,2200.00,09/04/20,7,109.00,111.3,113.60,112.19,4521,861,5.25,97.99%,08/28/20
NVDA,525.91,Call,520.00,09/04/20,7,16.50,16.75,17.00,16.77,10948,2087,5.25,46.82%,08/28/20
NKE,112.29,Call,111.00,09/25/20,28,5.30,5.48,5.65,5.35,1331,254,5.24,37.37%,08/28/20
PLAY,17.54,Call,16.00,08/28/20,0,1.30,1.5,1.70,1.50,2374,454,5.23,0.00%,08/28/20
RIG,1.35,Call,1.00,08/28/20,0,0.32,0.34,0.36,0.34,2858,552,5.18,0.00%,08/28/20
WFC,24.69,Put,25.00,09/04/20,7,0.62,0.65,0.68,0.62,7418,1435,5.17,32.98%,08/28/20
PTON,75.96,Call,90.00,09/11/20,14,2.41,2.44,2.47,2.43,2336,454,5.15,114.98%,08/28/20
FDX,221.9,Call,227.50,09/04/20,7,1.70,1.8,1.89,1.90,576,112,5.14,32.91%,08/28/20
VALE,11.3,Put,11.00,09/25/20,28,0.41,0.45,0.50,0.47,1600,311,5.14,49.89%,08/28/20
KIM,12.07,Put,12.50,09/18/20,21,0.70,0.77,0.85,0.90,652,127,5.13,57.04%,08/28/20
IQ,21.43,Call,22.00,09/11/20,14,0.79,0.85,0.91,0.95,672,131,5.13,71.29%,08/28/20
APT,14.69,Call,15.00,09/04/20,7,0.35,0.4,0.44,0.40,543,106,5.12,65.76%,08/28/20
BYND,131.02,Call,165.00,10/16/20,49,3.40,3.65,3.90,3.45,2461,481,5.12,67.33%,08/28/20
V,215.71,Call,222.50,09/04/20,7,0.98,1.02,1.06,1.02,612,120,5.1,27.82%,08/28/20
GOGO,5,Put,5.00,09/18/20,21,0.70,0.75,0.80,0.75,882,173,5.1,158.22%,08/28/20
NVDA,525.91,Call,555.00,09/04/20,7,5.00,5.2,5.40,5.02,1188,233,5.1,51.39%,08/28/20
BABA,289,Call,272.50,09/04/20,7,18.25,18.73,19.20,18.45,2071,407,5.09,47.61%,08/28/20
FCX,15.65,Call,17.00,09/25/20,28,0.36,0.38,0.40,0.36,568,112,5.07,48.19%,08/28/20
NVDA,525.91,Call,570.00,09/04/20,7,2.90,2.97,3.05,2.98,1392,275,5.06,54.10%,08/28/20
ORCL,57.88,Put,56.50,09/04/20,7,0.51,0.6,0.69,0.61,672,133,5.05,37.33%,08/28/20
WMT,140.3,Call,147.00,09/04/20,7,1.14,1.25,1.35,1.20,1058,210,5.04,45.24%,08/28/20
VRM,65.01,Put,50.00,01/15/21,140,5.50,6.25,7.00,6.20,503,100,5.03,88.95%,08/28/20
MCD,214.91,Call,145.00,09/18/20,21,68.00,70.1,72.20,70.70,1460,290,5.03,94.58%,08/28/20
FSLY,94.67,Call,94.00,08/28/20,0,0.40,0.6,0.80,0.62,1631,324,5.03,0.00%,08/28/20
WORK,31.91,Call,31.50,09/11/20,14,2.85,2.86,2.87,2.84,2778,552,5.03,106.00%,08/28/20
C,52.28,Put,54.50,09/04/20,7,2.43,2.51,2.58,2.43,809,161,5.02,32.10%,08/28/20
WMT,140.3,Call,145.00,12/18/20,112,7.05,7.28,7.50,7.50,7955,1589,5.01,29.85%,08/28/20
NVDA,525.91,Call,530.00,09/04/20,7,11.80,12.05,12.30,12.20,8606,1718,5.01,48.29%,08/28/20
CHWY,59.73,Call,62.00,09/04/20,7,1.10,1.14,1.18,1.16,805,161,5,62.38%,08/28/20
TSLA,2211.84,Call,2700.00,09/04/20,7,21.75,22.48,23.20,22.00,3106,622,4.99,118.33%,08/28/20
IQ,21.43,Call,21.00,09/04/20,7,0.80,0.99,1.18,1.02,1856,373,4.98,66.81%,08/28/20
SBUX,85,Call,86.00,09/04/20,7,1.06,1.09,1.11,1.05,2557,513,4.98,31.48%,08/28/20
PLUG,13.07,Put,13.00,09/04/20,7,0.48,0.55,0.62,0.51,1306,263,4.97,75.88%,08/28/20
MSFT,228.91,Put,225.00,09/04/20,7,3.15,3.25,3.35,3.15,2779,559,4.97,38.95%,08/28/20
CVNA,218.44,Put,220.00,10/16/20,49,22.40,22.7,23.00,22.83,6058,1220,4.97,69.76%,08/28/20
HD,286.29,Call,295.00,09/04/20,7,1.05,1.06,1.07,1.08,7931,1595,4.97,24.89%,08/28/20
SBUX,85,Call,84.50,08/28/20,0,0.31,0.77,1.22,0.47,2529,510,4.96,0.00%,08/28/20
ROKU,172.85,Put,167.50,09/04/20,7,4.50,4.8,5.10,5.42,738,149,4.95,83.29%,08/28/20
MCD,214.91,Call,195.00,09/18/20,21,18.20,19.48,20.75,19.89,36290,7341,4.94,12.65%,08/28/20
ULTA,237.02,Put,230.00,09/18/20,21,6.50,7.2,7.90,7.40,1085,220,4.93,47.59%,08/28/20
GOLD,29.2,Put,29.00,09/25/20,28,1.25,1.32,1.39,1.36,1608,326,4.93,45.90%,08/28/20
C,52.28,Put,54.00,09/04/20,7,2.02,2.09,2.16,2.02,507,103,4.92,31.68%,08/28/20
CAKE,30.79,Call,35.00,09/18/20,21,0.55,0.58,0.60,0.60,811,165,4.92,65.16%,08/28/20
NCLH,17.69,Call,19.50,09/04/20,7,0.32,0.33,0.33,0.33,2136,435,4.91,95.43%,08/28/20
ELAN,29.13,Call,31.00,10/16/20,49,1.05,1.28,1.50,1.22,858,175,4.9,45.50%,08/28/20
UBER,33.8,Call,40.00,10/16/20,49,0.55,0.58,0.60,0.57,2204,450,4.9,47.28%,08/28/20
TSLA,2211.84,Put,2350.00,08/28/20,0,129.25,136.38,143.50,134.95,1002,205,4.89,0.00%,08/28/20
DIS,135.54,Call,142.00,09/04/20,7,0.53,0.62,0.70,0.60,2000,411,4.87,34.79%,08/28/20
MSFT,228.91,Put,230.00,08/28/20,0,0.61,0.93,1.25,0.97,4372,901,4.85,0.00%,08/28/20
NIO,18.5,Put,18.50,09/04/20,7,1.04,1.05,1.06,1.05,10021,2072,4.84,103.10%,08/28/20
WFC,24.69,Put,22.50,11/20/20,84,1.07,1.14,1.20,1.17,17646,3656,4.83,47.02%,08/28/20
CTL,10.99,Put,12.00,11/20/20,84,1.44,1.54,1.64,1.54,535,111,4.82,44.78%,08/28/20
WDC,37.84,Put,37.00,09/04/20,7,0.57,0.59,0.61,0.61,742,154,4.82,47.28%,08/28/20
CRM,271.1,Call,275.00,09/18/20,21,9.85,10.35,10.85,10.14,1087,226,4.81,45.51%,08/28/20
MCD,214.91,Call,135.00,09/18/20,21,78.10,80.13,82.15,80.70,835,174,4.8,109.33%,08/28/20
INTC,50.43,Call,50.00,12/18/20,112,3.85,3.95,4.05,3.94,6414,1335,4.8,32.55%,08/28/20
CRM,271.1,Call,310.00,09/04/20,7,0.97,1.23,1.50,0.88,512,107,4.79,66.68%,08/28/20
NVDA,525.91,Call,535.00,09/04/20,7,10.20,10.27,10.35,10.60,1977,414,4.78,49.96%,08/28/20
PENN,53.72,Put,50.00,09/04/20,7,0.92,0.99,1.05,1.03,1831,386,4.74,85.94%,08/28/20
WMT,140.3,Put,135.00,09/04/20,7,0.87,0.92,0.97,0.90,2309,487,4.74,36.77%,08/28/20
TSLA,2211.84,Put,2190.00,09/04/20,7,105.65,109.63,113.60,109.05,549,116,4.73,99.53%,08/28/20
AAPL,499.23,Call,500.00,08/28/20,0,0.11,0.15,0.19,0.12,113537,24019,4.73,0.00%,08/28/20
MCD,214.91,Call,150.00,09/18/20,21,63.10,65.13,67.15,66.65,836,177,4.72,106.15%,08/28/20
CCL,17.21,Call,20.00,09/11/20,14,0.35,0.36,0.36,0.35,1689,358,4.72,89.07%,08/28/20
TSLA,2211.84,Put,2220.00,09/04/20,7,119.20,122.1,125.00,123.50,730,155,4.71,98.72%,08/28/20
MCD,214.91,Call,205.00,09/04/20,7,9.55,10.35,11.15,11.26,772,165,4.68,40.36%,08/28/20
NVAX,107.74,Call,108.00,08/28/20,0,0.00,0.16,0.31,0.12,658,141,4.67,0.00%,08/28/20
ROKU,172.85,Put,170.00,09/18/20,21,9.45,9.65,9.85,9.84,832,178,4.67,68.85%,08/28/20
MCD,214.91,Call,155.00,09/18/20,21,58.10,60.13,62.15,60.15,625,134,4.66,60.14%,08/28/20
ULTA,237.02,Call,245.00,09/04/20,7,3.30,3.5,3.70,3.73,634,136,4.66,52.47%,08/28/20
FDX,221.9,Call,230.00,09/04/20,7,1.16,1.26,1.35,1.31,760,163,4.66,33.23%,08/28/20
ROKU,172.85,Call,180.00,09/11/20,14,6.25,6.4,6.55,6.40,3307,710,4.66,69.08%,08/28/20
V,215.71,Put,215.00,09/04/20,7,2.59,2.67,2.75,2.62,696,150,4.64,25.14%,08/28/20
RKT,28.42,Call,44.00,03/19/21,203,4.50,4.55,4.60,4.70,780,168,4.64,103.04%,08/28/20
DIS,135.54,Call,170.00,11/20/20,84,0.92,1.03,1.14,1.02,904,195,4.64,34.43%,08/28/20
SIX,23.43,Call,27.50,10/16/20,49,0.85,0.9,0.95,0.92,1076,233,4.62,65.23%,08/28/20
DKNG,36.32,Put,32.50,09/04/20,7,0.30,0.35,0.40,0.34,535,116,4.61,82.30%,08/28/20
STNE,51.87,Call,52.00,09/18/20,21,2.65,2.72,2.80,2.83,562,122,4.61,57.86%,08/28/20
PTON,75.96,Call,75.00,08/28/20,0,0.90,1,1.10,0.92,8559,1858,4.61,0.00%,08/28/20
MCD,214.91,Call,205.00,09/11/20,14,9.50,10.75,12.00,10.90,603,131,4.6,24.75%,08/28/20
ULTA,237.02,Call,240.00,09/04/20,7,5.00,5.2,5.40,5.35,957,208,4.6,50.90%,08/28/20
BA,175.8,Call,175.00,08/28/20,0,0.80,0.85,0.90,0.99,23951,5219,4.59,0.00%,08/28/20
V,215.71,Call,220.00,09/11/20,14,2.35,2.5,2.65,2.49,669,146,4.58,24.98%,08/28/20
TWLO,264.45,Call,275.00,09/04/20,7,3.50,3.68,3.85,3.84,934,204,4.58,53.78%,08/28/20
AMGN,253.12,Put,245.00,09/04/20,7,1.00,1.52,2.04,2.84,672,147,4.57,44.19%,08/28/20
GIII,11.66,Call,12.50,09/18/20,21,1.05,1.13,1.20,1.07,1854,406,4.57,125.75%,08/28/20
WDAY,243.88,Call,300.00,09/18/20,21,1.20,1.38,1.55,1.23,2326,509,4.57,58.97%,08/28/20
TSLA,2211.84,Put,2160.00,08/28/20,0,0.00,0.01,0.02,8.51,4100,899,4.56,0.00%,08/28/20
DOCU,215.24,Call,220.00,09/04/20,7,11.40,11.63,11.85,11.61,3469,765,4.53,115.18%,08/28/20
NVDA,525.91,Put,510.00,09/04/20,7,6.80,7.07,7.35,7.03,2275,503,4.52,47.46%,08/28/20
HLT,91.73,Call,92.50,09/18/20,21,3.00,3.15,3.30,3.10,591,131,4.51,38.98%,08/28/20
SQ,155.93,Call,160.00,09/25/20,28,7.75,8,8.25,7.85,1518,338,4.49,55.48%,08/28/20
RTX,62.24,Call,62.50,09/04/20,7,0.95,1.04,1.13,1.00,1083,242,4.48,32.42%,08/28/20
STNG,11.73,Call,11.00,09/18/20,21,1.25,1.35,1.45,1.25,2156,483,4.46,76.32%,08/28/20
TSLA,2211.84,Put,2100.00,09/04/20,7,65.00,66.75,68.50,67.68,4305,966,4.46,97.54%,08/28/20
OKTA,207.98,Put,200.00,09/04/20,7,3.00,3.18,3.35,3.23,778,175,4.45,57.44%,08/28/20
AAPL,499.23,Call,730.00,09/11/20,14,0.39,0.42,0.44,0.43,1718,386,4.45,86.11%,08/28/20
LMT,395.59,Call,360.00,09/18/20,21,31.60,34.4,37.20,33.50,625,141,4.43,3.90%,08/28/20
EBAY,54.27,Call,55.00,09/04/20,7,0.69,0.73,0.77,0.73,838,189,4.43,34.75%,08/28/20
NFLX,523.89,Put,525.00,08/28/20,0,0.53,1.06,1.58,1.40,6146,1386,4.43,0.00%,08/28/20
AAPL,499.23,Call,497.50,08/28/20,0,1.00,2.05,3.10,1.66,5473,1240,4.41,0.00%,08/28/20
KR,35.3,Call,36.50,09/18/20,21,0.97,1,1.02,1.01,563,128,4.4,44.39%,08/28/20
PTON,75.96,Call,76.00,09/11/20,14,6.15,6.23,6.30,6.33,941,214,4.4,106.82%,08/28/20
CCL,17.21,Call,20.00,09/04/20,7,0.16,0.17,0.18,0.17,3009,685,4.39,97.85%,08/28/20
MCD,214.91,Call,207.50,09/04/20,7,7.00,7.33,7.65,8.68,613,140,4.38,32.95%,08/28/20
NTR,37.19,Put,35.00,12/18/20,112,2.15,2.22,2.30,2.15,1192,273,4.37,40.17%,08/28/20
WDC,37.84,Call,37.50,08/28/20,0,0.27,0.42,0.57,0.32,3272,748,4.37,0.00%,08/28/20
SIEN,3.81,Call,5.00,09/18/20,21,0.10,0.13,0.15,0.15,606,139,4.36,132.27%,08/28/20
TMO,424.48,Call,440.00,10/16/20,49,8.50,9.8,11.10,9.70,1249,287,4.35,25.29%,08/28/20
ROKU,172.85,Call,167.50,08/28/20,0,5.00,5.55,6.10,5.25,5477,1258,4.35,0.00%,08/28/20
NFLX,523.89,Call,550.00,09/04/20,7,5.20,5.45,5.70,5.37,7079,1629,4.35,50.20%,08/28/20
SBUX,85,Call,81.00,09/18/20,21,4.90,4.98,5.05,4.88,1046,241,4.34,28.88%,08/28/20
KR,35.3,Call,36.00,09/04/20,7,0.27,0.29,0.31,0.30,2501,577,4.33,29.50%,08/28/20
DKNG,36.32,Call,37.50,09/04/20,7,1.15,1.17,1.20,1.16,1928,448,4.3,82.46%,08/28/20
NKLA,41.35,Put,38.00,09/04/20,7,0.95,0.98,1.00,0.97,966,225,4.29,103.49%,08/28/20
NKLA,41.35,Put,32.50,09/04/20,7,0.10,0.18,0.25,0.20,1022,238,4.29,120.15%,08/28/20
CCL,17.21,Put,17.50,08/28/20,0,0.05,0.27,0.48,0.48,531,124,4.28,0.00%,08/28/20
CCL,17.21,Put,17.50,09/04/20,7,0.94,0.97,1.00,0.97,593,139,4.27,85.55%,08/28/20
BABA,289,Call,292.50,09/04/20,7,6.10,6.18,6.25,6.20,764,179,4.27,48.50%,08/28/20
AMZN,3401.8,Put,3400.00,09/04/20,7,59.00,61.3,63.60,61.15,1107,260,4.26,33.29%,08/28/20
AGNC,14.14,Put,14.00,09/04/20,7,0.10,0.11,0.12,0.10,1267,298,4.25,20.84%,08/28/20
IRBT,74.26,Call,77.00,09/04/20,7,0.74,0.91,1.08,0.90,1063,251,4.24,47.11%,08/28/20
BIDU,129,Call,128.00,08/28/20,0,0.71,1.14,1.56,0.68,2981,704,4.23,0.00%,08/28/20
ODT,17.88,Put,17.50,10/16/20,49,1.90,1.92,1.95,1.90,697,165,4.22,81.65%,08/28/20
CLDR,12.92,Call,13.00,09/18/20,21,1.23,1.27,1.30,1.30,1440,341,4.22,107.92%,08/28/20
LMT,395.59,Call,355.00,09/18/20,21,35.60,40.55,45.50,38.50,750,178,4.21,0.00%,08/28/20
ROKU,172.85,Put,160.00,09/04/20,7,2.10,2.21,2.31,2.30,1995,474,4.21,75.33%,08/28/20
AMZN,3401.8,Put,2900.00,09/11/20,14,3.65,4.18,4.70,4.50,869,207,4.2,46.46%,08/28/20
TSLA,2211.84,Call,2400.00,09/04/20,7,58.00,59.2,60.40,59.41,6070,1444,4.2,103.62%,08/28/20
TWO,5.62,Put,5.00,12/18/20,112,0.30,0.38,0.45,0.30,7832,1865,4.2,48.39%,08/28/20
PCG,9.13,Put,8.00,11/20/20,84,0.53,0.57,0.60,0.57,5003,1194,4.19,64.44%,08/28/20
RCL,70.12,Put,55.00,10/16/20,49,2.27,2.3,2.34,2.31,575,138,4.17,84.21%,08/28/20
HPQ,19.85,Call,20.50,09/04/20,7,0.19,0.21,0.22,0.21,754,181,4.17,41.50%,08/28/20
FCX,15.65,Put,15.00,09/04/20,7,0.16,0.17,0.18,0.16,2827,678,4.17,47.98%,08/28/20
DKNG,36.32,Put,34.00,09/11/20,14,1.15,1.28,1.40,1.26,1186,285,4.16,81.61%,08/28/20
TSLA,2211.84,Call,3200.00,09/04/20,7,6.90,6.95,7.00,7.00,1293,311,4.16,145.03%,08/28/20
MCD,214.91,Call,195.00,09/04/20,7,19.60,20.78,21.95,21.65,527,127,4.15,70.73%,08/28/20
LYFT,30.77,Call,30.50,09/04/20,7,0.97,1.04,1.10,0.99,925,223,4.15,49.84%,08/28/20
ACIA,67.59,Call,65.00,11/20/20,84,2.70,3.3,3.90,3.70,1000,241,4.15,15.65%,08/28/20
AMD,85.55,Call,85.00,08/28/20,0,0.49,0.53,0.58,0.55,43299,10432,4.15,0.00%,08/28/20
MCD,214.91,Call,200.00,09/04/20,7,14.55,15.75,16.95,16.40,636,154,4.13,54.74%,08/28/20
MSFT,228.91,Put,227.50,09/04/20,7,4.30,4.48,4.65,4.40,2059,499,4.13,40.50%,08/28/20
GES,12.07,Put,10.00,10/16/20,49,0.55,0.6,0.65,0.65,3429,830,4.13,91.54%,08/28/20
CTLT,87.66,Call,90.00,09/18/20,21,3.80,4,4.20,3.95,631,153,4.12,58.89%,08/28/20
UPS,162.36,Call,170.00,09/04/20,7,0.53,0.57,0.61,0.57,1705,414,4.12,31.85%,08/28/20
JWN,15.68,Put,15.00,09/04/20,7,0.32,0.36,0.40,0.33,652,159,4.1,72.30%,08/28/20
RCL,70.12,Call,80.00,09/04/20,7,0.47,0.49,0.50,0.47,1827,446,4.1,79.64%,08/28/20
FDX,221.9,Call,205.00,09/04/20,7,16.85,18.23,19.60,17.10,522,128,4.08,32.14%,08/28/20
CHL,36.37,Call,37.50,03/19/21,203,2.15,2.4,2.65,2.50,902,221,4.08,26.45%,08/28/20
BILL,100.31,Put,85.00,09/18/20,21,1.40,1.67,1.95,1.66,1187,291,4.08,76.26%,08/28/20
GILD,65.26,Call,66.00,09/18/20,21,1.00,1.03,1.06,1.04,1241,304,4.08,21.57%,08/28/20
MCD,214.91,Call,192.50,09/04/20,7,22.10,23.45,24.80,24.10,630,155,4.06,76.19%,08/28/20
DIS,135.54,Put,134.00,09/04/20,7,1.28,1.39,1.49,1.48,967,239,4.05,29.27%,08/28/20
MGM,23.86,Call,24.50,09/04/20,7,0.65,0.67,0.68,0.66,2979,738,4.04,70.62%,08/28/20
SNAP,22.31,Put,22.50,09/11/20,14,0.96,1,1.03,0.98,581,144,4.03,50.81%,08/28/20
WYNN,91.55,Call,91.00,08/28/20,0,0.37,0.51,0.65,0.65,2092,520,4.02,0.00%,08/28/20
MRVL,38.25,Call,36.50,09/04/20,7,1.98,2.01,2.04,2.04,3814,949,4.02,43.52%,08/28/20
NVDA,525.91,Call,540.00,09/04/20,7,8.15,8.53,8.90,8.70,3788,944,4.01,49.68%,08/28/20
UBER,33.8,Call,34.50,09/11/20,14,0.81,0.86,0.90,0.82,504,126,4,42.28%,08/28/20
TCOM,30.63,Put,28.00,03/19/21,203,2.19,2.3,2.40,2.14,1289,322,4,39.10%,08/28/20
AAPL,499.23,Call,1000.00,09/16/22,749,24.50,24.75,25.00,24.75,1315,329,4,40.53%,08/28/20
NTNX,28.03,Call,32.50,09/18/20,21,0.66,0.68,0.70,0.70,2282,571,4,78.31%,08/28/20
RCL,70.12,Put,65.00,09/04/20,7,0.90,1.08,1.26,0.96,840,211,3.98,75.47%,08/28/20
NCLH,17.69,Put,17.00,09/11/20,14,0.89,1.02,1.14,0.91,884,223,3.96,90.80%,08/28/20
FDX,221.9,Call,225.00,09/04/20,7,2.40,2.57,2.74,2.51,1893,479,3.95,31.10%,08/28/20
PRTY,2.9,Put,2.50,01/21/22,511,1.25,1.38,1.50,1.30,504,128,3.94,132.88%,08/28/20
TSM,80.44,Call,81.00,09/25/20,28,2.87,2.94,3.00,2.95,524,133,3.94,35.66%,08/28/20
BYND,131.02,Call,131.00,08/28/20,0,0.08,0.3,0.52,0.22,2265,575,3.94,0.00%,08/28/20
SNAP,22.31,Put,21.50,09/04/20,7,0.33,0.34,0.35,0.35,2515,638,3.94,56.37%,08/28/20
TSLA,2211.84,Call,2215.00,09/04/20,7,117.05,120.78,124.50,119.00,847,216,3.92,97.49%,08/28/20
PTON,75.96,Call,74.00,08/28/20,0,1.74,2.02,2.30,2.14,1871,479,3.91,0.00%,08/28/20
DKNG,36.32,Call,39.00,09/04/20,7,0.70,0.73,0.75,0.75,4518,1156,3.91,85.37%,08/28/20
KO,49.83,Put,47.50,02/19/21,175,2.18,2.27,2.36,2.31,1248,320,3.9,26.06%,08/28/20
RRGB,11.21,Call,12.50,09/18/20,21,0.60,0.63,0.65,0.60,1940,497,3.9,99.62%,08/28/20
DKNG,36.32,Call,38.50,09/04/20,7,0.75,0.8,0.85,0.87,2334,599,3.9,84.47%,08/28/20
WMT,140.3,Call,141.00,09/11/20,14,3.60,3.68,3.75,3.65,1753,451,3.89,35.97%,08/28/20
WMT,140.3,Call,150.00,09/11/20,14,1.38,1.39,1.40,1.39,7213,1855,3.89,41.64%,08/28/20
TSLA,2211.84,Call,2225.00,09/04/20,7,111.00,115.55,120.10,115.00,1258,324,3.88,98.03%,08/28/20
ROKU,172.85,Call,175.00,09/11/20,14,7.90,8.15,8.40,8.40,1457,376,3.88,69.16%,08/28/20
ULTA,237.02,Call,260.00,09/04/20,7,1.05,1.1,1.15,1.05,1542,397,3.88,55.21%,08/28/20
WKHS,16.39,Call,28.00,01/15/21,140,3.10,3.25,3.40,3.30,1766,455,3.88,149.55%,08/28/20
NK,7.31,Put,7.50,01/15/21,140,2.35,2.5,2.65,2.61,615,159,3.87,143.63%,08/28/20
